127.0.0.1 - - [24/Apr/2023:17:52:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/templates/board/detail.jsp HTTP/1.1" 200 12038
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/css/board/board.css HTTP/1.1" 200 13077
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/css/header/header.css HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/js/board/board.js HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/js/board/reply.js HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/images/search.png HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/images/board_banner.png HTTP/1.1" 200 53156
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /static/images/profile.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /static/images/preview.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/images/logo.png HTTP/1.1" 200 29785
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/images/profile.png HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /static/images/reply_profile.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /app/static/images/plus.png HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /static/images/reply_profile.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:07 +0900] "GET /static/images/profile.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:08 +0900] "GET /app/static/images/favicon.png HTTP/1.1" 200 22537
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:12 +0900] "GET /app/logout.member HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/login.member HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/js/member/login.js HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/css/modal/modal.css HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/css/member/term.css HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/css/member/info.css HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/js/modal/modal.js HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/css/member/member.css HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:52:13 +0900] "GET /app/static/images/check_all.png HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:53:58 +0900] "GET /app/templates/fix/header.jsp HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:53:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:54:01 +0900] "GET /app/logout.member HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:17:54:01 +0900] "GET /app/login.member HTTP/1.1" 200 3709
